Frequency (Hz),Amplitude
0.0,1.859702357133175e-06
0.125,0.00010811235624362572
0.25,9.542979305713132e-05
0.375,5.5699888990866113e-05
0.5,6.155025431971049e-05
0.625,8.940463797323416e-05
0.75,6.367759704944486e-05
0.875,1.909658214564069e-05
1.0,3.01230383004507e-05
1.125,1.927926996285506e-05
1.25,2.9448268569739537e-05
1.375,2.704981071236629e-05
1.5,2.3281843856552848e-05
1.625,2.1400133856794804e-05
1.75,2.0261534643359872e-05
1.875,3.228505376258745e-05
2.0,3.270195155875442e-05
2.125,2.7715369519514628e-05
2.25,3.206351136707794e-05
2.375,3.087668848174081e-05
2.5,2.248011596501807e-05
2.625,2.3052692192683677e-05
2.75,2.4038247605409536e-05
2.875,2.5179836622394562e-05
3.0,2.498791350159557e-05
3.125,2.08968234821786e-05
3.25,1.8838184212614423e-05
3.375,2.059001597115186e-05
3.5,2.1013003374581868e-05
3.625,2.4532458436623022e-05
3.75,2.1452914494179964e-05
3.875,2.251275045984861e-05
4.0,1.7688517199639748e-05
4.125,2.327495277560143e-05
4.25,1.8691001512681237e-05
4.375,1.8853716465667546e-05
4.5,1.9736827907761345e-05
4.625,1.227494508260541e-05
4.75,1.676897226303544e-05
4.875,2.0210252875878794e-05
5.0,1.5341088316557905e-05
5.125,1.8011018086741517e-05
5.25,1.7858067473348548e-05
5.375,2.211465991383989e-05
5.5,2.1844238894287327e-05
5.625,1.724137606529884e-05
5.75,2.236925766631953e-05
5.875,1.803739642310625e-05
6.0,1.913438501695451e-05
6.125,1.9991873621532546e-05
6.25,1.7486508291552543e-05
6.375,2.059286011651549e-05
6.5,1.9513781322777287e-05
6.625,1.8091815926381648e-05
6.75,1.780661327291153e-05
6.875,1.5298964924361677e-05
7.0,1.9904023672962222e-05
7.125,1.6779874543501957e-05
7.25,1.8444397176106004e-05
7.375,1.897518230561868e-05
7.5,1.8924900125056123e-05
7.625,2.0456255776138444e-05
7.75,2.4159236986306254e-05
7.875,1.9836835936317788e-05
8.0,1.9793578779882634e-05
8.125,1.7490474423460458e-05
8.25,2.0975193034735686e-05
8.375,2.0526371293514603e-05
8.5,1.7104441584326872e-05
8.625,2.0390141116985633e-05
8.75,2.333741904566898e-05
8.875,1.9102791816898322e-05
9.0,1.9346204587663495e-05
9.125,1.7579415393125173e-05
9.25,1.887869483960989e-05
9.375,1.8760431251059917e-05
9.5,1.9465170743676584e-05
9.625,1.9319627550179268e-05
9.75,1.905754848756328e-05
9.875,1.9438307723992232e-05
10.0,1.990882730570123e-05
10.125,2.300359091739354e-05
10.25,2.1662563042761263e-05
10.375,1.7562507415286548e-05
10.5,1.9306319527318136e-05
10.625,1.9202105483338813e-05
10.75,1.7275671281797628e-05
10.875,2.5952108122551797e-05
11.0,2.0089157020641342e-05
11.125,1.8335238230024913e-05
11.25,1.734784146110398e-05
11.375,2.1958309842924262e-05
11.5,1.7665929001656873e-05
11.625,2.2906560645335946e-05
11.75,2.015195879576162e-05
11.875,1.9031120434881494e-05
12.0,1.925269463779943e-05
12.125,1.9471040254816675e-05
12.25,2.13272465441733e-05
12.375,1.7699039703975934e-05
12.5,2.3398449955331084e-05
12.625,1.775733800854051e-05
12.75,2.0604587217338507e-05
12.875,2.1281265283962564e-05
13.0,2.2429844278379272e-05
13.125,1.7653299546485623e-05
13.25,1.9953286479113683e-05
13.375,1.9346996045092933e-05
13.5,2.170682767119584e-05
13.625,1.9395888199968188e-05
13.75,1.6729931075339856e-05
13.875,1.9665319679731592e-05
14.0,2.085872495194383e-05
14.125,2.1774705133806937e-05
14.25,1.8997702996819677e-05
14.375,2.0715570453021433e-05
14.5,2.002166371033393e-05
14.625,2.160187176561031e-05
14.75,2.2555392474509777e-05
14.875,2.0903430584334002e-05
15.0,2.3042969060980414e-05
15.125,2.2446159665104914e-05
15.25,2.1821814907467826e-05
15.375,1.816028476696956e-05
15.5,1.805106506869647e-05
15.625,1.8954946971807768e-05
15.75,2.078223508432675e-05
15.875,2.0228348135146592e-05
16.0,1.790343228844241e-05
16.125,1.972693223236071e-05
16.25,2.112006470701715e-05
16.375,1.9224900379327577e-05
16.5,2.0142893724732402e-05
16.625,2.355627813418946e-05
16.75,2.028539592160155e-05
16.875,1.8689107429274437e-05
17.0,2.0437186281703873e-05
17.125,2.1798775061153512e-05
17.25,1.802946858182202e-05
17.375,2.129564243252741e-05
17.5,2.3276093395206647e-05
17.625,2.1080255629786912e-05
17.75,2.8013665500046724e-05
17.875,1.5994022080359825e-05
18.0,3.2721090659736365e-05
18.125,1.9053449822607828e-05
18.25,1.9680862272217405e-05
18.375,2.0614765714032087e-05
18.5,1.9445015768655615e-05
18.625,2.076749996754695e-05
18.75,2.2364476992724596e-05
18.875,1.9495772617057143e-05
19.0,2.3538391707847545e-05
19.125,2.2372184960780597e-05
19.25,1.9104135093222896e-05
19.375,2.124352781163453e-05
19.5,2.0241948795362845e-05
19.625,1.8860576863087252e-05
19.75,1.764597948260045e-05
