Frequency (Hz),Amplitude
0.0,0.0002313312580633663
0.125,0.0018026002833909118
0.25,0.0006929100808189978
0.375,0.0011275645936264951
0.5,0.0007314595953500199
0.625,0.0003822102135495117
0.75,4.993977677133157e-05
0.875,0.0006263072960547232
1.0,0.00042579281704136656
1.125,0.00014083790171817362
1.25,0.00035471932221109594
1.375,0.0003536059071692815
1.5,0.0004907025968667407
1.625,0.00035342469543820596
1.75,0.00018031565573004222
1.875,0.00023884728484170934
2.0,0.00035517479137831735
2.125,0.0002856161368063285
2.25,0.00021894457000488403
2.375,0.0003499206053371471
2.5,0.0003588612728784104
2.625,0.00026569068557925776
2.75,0.00021198057730954643
2.875,0.00020114448313679877
3.0,0.0001296041656636449
3.125,6.317606921200954e-05
3.25,0.00014763164570755083
3.375,0.0001340639701570389
3.5,0.00019797010570447662
3.625,0.00011339080027467193
3.75,0.00017228253833259375
3.875,0.0002139511912857149
4.0,9.276541557947511e-05
4.125,9.600030063061741e-05
4.25,0.00019144182181655785
4.375,0.00016416621993043496
4.5,0.00030007796788600896
4.625,0.0001124885417666918
4.75,9.329217133417656e-05
4.875,9.529751245650513e-05
5.0,0.0002779928964491786
5.125,0.00013282437212692972
5.25,0.00015886601775256932
5.375,0.00011849541898140732
5.5,0.00011764034863751638
5.625,1.8246591941549554e-05
5.75,0.00010397685853019077
5.875,7.62567477443685e-05
6.0,9.673183657492238e-05
6.125,7.624307755300389e-05
6.25,7.306140016437912e-05
6.375,7.287332588772034e-05
6.5,3.8169408870569665e-05
6.625,4.1071551227284873e-05
6.75,8.523927347007252e-05
6.875,6.049168683541831e-05
7.0,0.00011128754269636471
7.125,6.15749530143884e-05
7.25,5.964466308892397e-05
7.375,6.022788767921996e-05
7.5,9.488591884079899e-05
7.625,8.134639848343682e-05
7.75,1.3088508258344097e-05
7.875,0.00013170443011169576
8.0,5.668631674271123e-05
8.125,4.812643303135458e-05
8.25,0.0001184177005900442
8.375,0.00014343149021129134
8.5,8.287614895796369e-05
8.625,8.566283684837744e-05
8.75,5.6445561441182464e-05
8.875,3.4281440510619314e-05
9.0,8.920596137971e-05
9.125,0.00011452423956117219
9.25,6.44701518916775e-05
9.375,1.8397831340534038e-05
9.5,9.613229263488612e-05
9.625,2.3419907426203504e-05
9.75,2.0650902675864937e-05
9.875,5.911567345023538e-05
10.0,2.799891286513473e-05
10.125,9.432504048265147e-05
10.25,4.675126368052961e-05
10.375,9.433611370160216e-05
10.5,4.7996252526198776e-05
10.625,1.797274832262361e-05
10.75,1.2579221540739532e-05
10.875,4.5974150932081765e-05
11.0,4.630165339852315e-05
11.125,3.0434985119099153e-05
11.25,3.823904108644107e-05
11.375,5.068118143059169e-05
11.5,1.4416352386980641e-05
11.625,6.0061864496028996e-05
11.75,1.3333945879580238e-05
11.875,5.628931941010506e-05
12.0,6.995019160616978e-05
12.125,3.816862870868354e-05
12.25,4.112184310894396e-05
12.375,4.2514767757785536e-05
12.5,9.822954726012234e-06
12.625,2.8211483381615166e-05
12.75,2.2364490035308594e-05
12.875,2.1176315097399102e-05
13.0,0.00012125976646354652
13.125,2.978594495121803e-05
13.25,6.996582325025593e-05
13.375,4.954261632234656e-05
13.5,5.9410691933171806e-05
13.625,6.496314744780396e-05
13.75,2.2904263297504814e-05
13.875,9.193136321932767e-05
14.0,4.074617933561514e-05
14.125,2.2522498765019983e-05
14.25,2.2584785679785458e-05
14.375,8.093619804696515e-05
14.5,5.5849758324750196e-05
14.625,4.9644200983185316e-05
14.75,9.406076149270622e-05
14.875,6.450302015465453e-05
15.0,4.571186740642397e-05
15.125,2.050127335579997e-05
15.25,8.535476310306566e-05
15.375,2.770949244557599e-05
