Frequency (Hz),Amplitude
0.0,0.00011052948812636158
0.125,0.00022891363555624803
0.25,3.7449595755864204e-05
0.375,0.0001076674737681532
0.5,1.7187663765835478e-05
0.625,2.5290403568330867e-05
0.75,1.1518741461985638e-05
0.875,3.9974488059049013e-05
1.0,3.139248662903959e-05
1.125,4.2346393663680095e-05
1.25,2.5595533031059647e-05
1.375,3.985570109870609e-05
1.5,2.4614972275967123e-05
1.625,2.1076957382261345e-05
1.75,1.4871216510342155e-05
1.875,2.173770823433868e-05
2.0,1.634778721906301e-05
2.125,2.0193053826136756e-05
2.25,1.636426035761635e-05
2.375,1.76440000166169e-05
2.5,1.4713793072571247e-05
2.625,1.4393028174858206e-05
2.75,1.0988119983862563e-05
2.875,1.9132753669147174e-05
3.0,2.1008217906767218e-05
3.125,1.4676572494105451e-05
3.25,1.374972218481583e-05
3.375,1.3828335123999601e-05
3.5,1.6747983409109466e-05
3.625,1.5286302054027317e-05
3.75,1.6727411898813574e-05
3.875,1.8979090085291605e-05
4.0,1.602382447688246e-05
4.125,1.5090881315203982e-05
4.25,7.3413742014471085e-06
4.375,1.669122915151616e-05
4.5,1.537472169496721e-05
4.625,1.7656249509865356e-05
4.75,1.864900989097025e-05
4.875,2.1319539906566897e-05
5.0,1.5483182402771544e-05
5.125,1.8993792070026686e-05
5.25,1.6116937743041732e-05
5.375,1.4492049666968807e-05
5.5,1.8356962269693505e-05
5.625,1.784883552511108e-05
5.75,1.5116373111129223e-05
5.875,1.5645068661882085e-05
6.0,1.5293730589566273e-05
6.125,1.8304350545822953e-05
6.25,1.2844030752813135e-05
6.375,1.5819764813013487e-05
6.5,1.2755020113179154e-05
6.625,1.4559397420564106e-05
6.75,1.4372712177738065e-05
6.875,1.627821953606129e-05
7.0,1.3570058726504583e-05
7.125,1.6580776462939155e-05
7.25,1.730863267108895e-05
7.375,1.34907545060362e-05
7.5,1.2041413026128178e-05
7.625,1.77614673395072e-05
7.75,1.3707692146791007e-05
7.875,1.6006047959161628e-05
8.0,1.2196171981583075e-05
8.125,1.6891785546873912e-05
8.25,1.4134741279889385e-05
8.375,1.671767949431107e-05
8.5,1.5400544921794033e-05
8.625,1.4468000321081553e-05
8.75,1.5446054883440885e-05
8.875,1.4263585907630634e-05
9.0,1.5687744067514942e-05
9.125,1.5932868956339476e-05
9.25,1.7160763260683218e-05
9.375,1.3235317602028633e-05
9.5,1.6445405273639815e-05
9.625,1.64400181657614e-05
9.75,1.5909051296039837e-05
9.875,1.2857829193748384e-05
10.0,1.5607838743441987e-05
10.125,1.4808483118422586e-05
10.25,1.5675117358290615e-05
10.375,1.4872006583191578e-05
10.5,1.5157558556001255e-05
10.625,1.4398648210501505e-05
10.75,1.3554101536390694e-05
10.875,1.6450702246085572e-05
11.0,1.4552999581066525e-05
11.125,1.661084935391792e-05
11.25,1.630019976839481e-05
11.375,1.1957097636647225e-05
11.5,1.4306907467044532e-05
11.625,1.3604046086795752e-05
11.75,1.70070951935126e-05
11.875,1.42875413932543e-05
12.0,1.4841670190883527e-05
12.125,1.536402261943081e-05
12.25,1.4543866332750664e-05
12.375,1.649340597451726e-05
12.5,1.5272279803263748e-05
12.625,1.5101253646312224e-05
12.75,1.6369582595191415e-05
12.875,1.4039116783780116e-05
13.0,1.6636027965342052e-05
13.125,1.7667785116123182e-05
13.25,1.6756180281914482e-05
13.375,1.664540491685084e-05
13.5,1.590166096936535e-05
13.625,1.5227418782471586e-05
13.75,1.5470915108262448e-05
13.875,1.5456939794456624e-05
14.0,1.4477987086180526e-05
14.125,1.5435849055858316e-05
14.25,1.369831912737559e-05
14.375,1.627650909441899e-05
14.5,1.6609628478293634e-05
14.625,1.3476510419532767e-05
14.75,1.4864699275103146e-05
14.875,1.4996408187986575e-05
15.0,1.613781108577896e-05
15.125,1.82801778506484e-05
15.25,1.6183571092313828e-05
15.375,1.3725947309110682e-05
15.5,1.3559794406382705e-05
15.625,1.4974381871577485e-05
15.75,1.8201212955880107e-05
15.875,1.4384677280344861e-05
16.0,1.6200547290333784e-05
16.125,1.6349692689331386e-05
16.25,1.7499835207872084e-05
16.375,1.562068527129085e-05
16.5,1.707272010302769e-05
16.625,1.5674965649636024e-05
16.75,1.57919012868037e-05
16.875,1.5705604559330243e-05
17.0,1.6630098828218004e-05
17.125,1.5376263174285363e-05
17.25,1.4637618635974893e-05
17.375,1.4839203580671941e-05
17.5,1.579107006378698e-05
17.625,1.4969428582249158e-05
17.75,1.5827482641592046e-05
17.875,1.6904151574040523e-05
18.0,1.937475831608606e-05
18.125,1.3089015821752646e-05
18.25,1.692835686505489e-05
18.375,1.5187319283180105e-05
18.5,1.6503215916326784e-05
18.625,1.4804155015172876e-05
18.75,1.658194040623499e-05
18.875,1.4925255856971411e-05
19.0,1.4656415464856083e-05
19.125,1.4462107071916042e-05
19.25,1.7549317218750024e-05
19.375,1.4599437860723913e-05
19.5,1.8065314152560744e-05
19.625,1.858416615059619e-05
19.75,1.647808887921921e-05
19.875,1.5203971552475728e-05
20.0,1.630771793556065e-05
20.125,1.6820842164266307e-05
20.25,1.4365634440574697e-05
20.375,1.750721242778594e-05
20.5,1.53374323425011e-05
20.625,1.764778193327063e-05
20.75,1.5828320511037102e-05
20.875,1.5890304951279058e-05
21.0,1.7955820566576584e-05
21.125,1.7702162662124497e-05
21.25,1.8476224701843857e-05
21.375,1.5271983621141748e-05
21.5,1.7350461277961586e-05
21.625,1.6454034311581603e-05
21.75,1.5367961537578766e-05
21.875,1.7774568813104372e-05
22.0,1.7581851403177665e-05
22.125,1.5860716611855658e-05
22.25,1.8402190448350708e-05
22.375,1.717458507718e-05
22.5,1.5353368382757428e-05
22.625,1.7082587589948638e-05
22.75,1.722812818432946e-05
22.875,1.443021463808276e-05
23.0,2.1269979280583923e-05
23.125,1.7008560798602953e-05
23.25,1.7439020696838737e-05
23.375,1.7383011769526054e-05
23.5,2.0264719975053786e-05
23.625,1.6711910907267214e-05
23.75,1.7729637978668574e-05
23.875,1.7371825440502476e-05
24.0,1.589321689031485e-05
24.125,2.0785052949169783e-05
24.25,2.557656673987122e-05
24.375,1.8529593429144297e-05
24.5,1.999886730484764e-05
24.625,1.6847076451089278e-05
24.75,2.0004494724247202e-05
24.875,1.8029462603080404e-05
25.0,2.0434980274872693e-05
25.125,1.8903337610323034e-05
25.25,2.1982989622510438e-05
25.375,2.319048475690227e-05
25.5,2.2144399218631897e-05
25.625,2.110001595319954e-05
25.75,1.95362332300494e-05
25.875,2.242435456040832e-05
26.0,2.3589841088273906e-05
26.125,2.351046428341669e-05
26.25,2.2990469041577434e-05
26.375,2.142748755440955e-05
26.5,2.3505065500206254e-05
26.625,2.3677415575151647e-05
26.75,2.3449734738375615e-05
26.875,2.640519109441165e-05
27.0,2.135157444520809e-05
27.125,2.67471460354885e-05
27.25,2.759228660785787e-05
27.375,2.8680350766444397e-05
27.5,2.9180317888504293e-05
27.625,3.114324166974175e-05
27.75,3.251157447572045e-05
27.875,3.338818709596651e-05
28.0,3.565847269890986e-05
28.125,4.5302148049535285e-05
28.25,5.4049097419302264e-05
28.375,5.866742744299187e-05
28.5,7.705358464352342e-05
28.625,0.00011022601587094899
28.75,0.00022291636340905389
28.875,0.0008440872829381912
29.0,0.00012873564125281427
29.125,6.217844028160919e-05
29.25,3.198961325626654e-05
29.375,2.3849933499261453e-05
29.5,2.1794327540610115e-05
29.625,1.5628321952517628e-05
29.75,9.974448971411357e-06
29.875,6.406507276589139e-06
30.0,8.812551308499103e-06
30.125,3.4397437814106024e-06
30.25,2.8038505166099887e-06
30.375,2.000750884036587e-06
30.5,4.182455136517108e-06
30.625,4.123976525149057e-06
30.75,4.349546990859356e-06
30.875,3.6760464390132417e-06
31.0,1.0170894450206819e-05
31.125,2.927608597290654e-05
31.25,1.7636428510429355e-05
31.375,6.698421207329574e-06
31.5,9.675604275136436e-06
31.625,4.749520879890887e-06
31.75,1.1656424176535166e-05
31.875,8.724529825975927e-06
32.0,8.647791628529932e-06
32.125,9.512190551017713e-06
32.25,1.193797742309396e-05
32.375,1.3130617043531377e-05
32.5,1.1295342986333255e-05
32.625,1.1974626364346133e-05
32.75,8.476717011017662e-06
32.875,1.3626733797480562e-05
33.0,1.5319013355972097e-05
33.125,2.6755240975418883e-05
33.25,1.0868308398737635e-05
33.375,1.4298784399202094e-05
33.5,8.55045438618874e-06
33.625,5.942029226050321e-06
33.75,6.786391723869396e-06
33.875,8.928501898254282e-06
34.0,1.1742585860457216e-05
34.125,1.221515913390753e-05
34.25,1.1085679757304019e-05
34.375,1.0899311353779014e-05
34.5,9.306182399284025e-06
34.625,4.0016972785064315e-06
34.75,9.398943766527431e-06
34.875,7.605668708952408e-06
35.0,1.1737949464422375e-05
35.125,1.2790028021384176e-05
35.25,1.2289777396446155e-05
35.375,1.4534884166442033e-05
35.5,6.952258123545781e-06
35.625,1.539788376736266e-05
35.75,1.3616757748810116e-05
35.875,1.071413038681484e-05
36.0,1.1054342591210859e-05
36.125,1.226604528504218e-05
36.25,1.1227107602746052e-05
36.375,1.4848388286828345e-05
36.5,1.3216674631497176e-05
36.625,1.3900562483102278e-05
36.75,9.212024515498116e-06
36.875,1.0684697824431477e-05
37.0,1.343953938277394e-05
37.125,1.167609898310255e-05
37.25,7.120395215293315e-06
37.375,9.77784282996189e-06
37.5,1.3342947573546359e-05
37.625,1.4515605849998885e-05
37.75,1.6188285990577284e-05
37.875,1.6155424484342757e-05
38.0,1.3425054363520192e-05
38.125,1.226799113968331e-05
38.25,1.255195995348632e-05
38.375,1.0323725910920925e-05
38.5,1.1998226183621599e-05
38.625,1.0602905477674881e-05
38.75,1.0979121887323698e-05
38.875,1.1868696285732027e-05
39.0,1.2680806162364346e-05
39.125,1.5670004979290296e-05
39.25,1.2975703747262402e-05
39.375,1.0220722783401934e-05
39.5,1.4315588974308687e-05
39.625,1.1295056321842175e-05
