Frequency (Hz),Amplitude
0.0,8.495127085699243e-05
0.125,0.00029860513749527544
0.25,8.174617812964101e-05
0.375,6.014733480300313e-05
0.5,8.050886970934047e-05
0.625,7.908452557572825e-05
0.75,4.959113041822414e-05
0.875,4.745022768297641e-05
1.0,4.6092512928107796e-05
1.125,2.519930945003316e-05
1.25,2.5277849259460088e-05
1.375,2.9067079316579825e-05
1.5,3.056311165644459e-05
1.625,3.330499273882686e-05
1.75,1.643304857612769e-05
1.875,1.6247778077764103e-05
2.0,2.578548267782639e-05
2.125,2.094790648400425e-05
2.25,1.943662651818391e-05
2.375,2.0758084128614316e-05
2.5,2.392080168983512e-05
2.625,1.337299570579424e-05
2.75,1.9478617081007304e-05
2.875,8.287594737281511e-06
3.0,1.1873707744319357e-05
3.125,1.4746619259279515e-05
3.25,1.429628822608175e-05
3.375,8.848375118598289e-06
3.5,8.828266875312775e-06
3.625,1.1332458488150968e-05
3.75,9.077094355126168e-06
3.875,5.477372256442311e-06
4.0,7.054729724819619e-06
4.125,1.0080415913931683e-05
4.25,6.725575168731177e-06
4.375,7.5982057879303635e-06
4.5,7.3329144675262995e-06
4.625,4.643441777765075e-06
4.75,4.7368295599858755e-06
4.875,7.249545450561622e-06
5.0,7.496663596776527e-06
5.125,7.055579794130151e-06
5.25,5.35166461316388e-06
5.375,1.1575634556868068e-05
5.5,8.822113186913817e-06
5.625,5.465893077237965e-06
5.75,9.571446934850439e-06
5.875,9.828172156883059e-06
6.0,5.1116206990193785e-06
6.125,8.359538714164284e-06
6.25,8.19378330210361e-06
6.375,5.376474272131725e-06
6.5,5.864892367111157e-06
6.625,2.095877659731504e-06
6.75,5.985657749179017e-06
6.875,6.1689054123126645e-06
7.0,5.323493207197829e-06
7.125,4.8104691357195455e-06
7.25,9.085912919945177e-06
7.375,6.180003134266123e-06
7.5,6.006879370405699e-06
7.625,8.514096178739742e-06
7.75,5.493036418597465e-06
7.875,3.98182564719822e-06
8.0,8.68408468160787e-06
8.125,5.867076886251385e-06
8.25,6.806314935281765e-06
8.375,3.976417042923922e-06
8.5,6.0121297753978875e-06
8.625,1.9389555948187684e-06
8.75,4.703697689011358e-06
8.875,5.000677358354622e-06
9.0,6.474630973859536e-06
9.125,5.685474733107535e-06
9.25,2.751788902316397e-06
9.375,6.058218467326185e-06
9.5,2.811018186786052e-06
9.625,1.5892613024810848e-06
9.75,3.6109298833547456e-06
9.875,1.945539490864469e-06
10.0,6.692274361204121e-06
10.125,4.174785550725912e-06
10.25,6.573129039254101e-06
10.375,3.349670826260123e-06
10.5,4.78435716378787e-06
10.625,2.3460570278010754e-06
10.75,6.390717911463948e-06
10.875,5.0771540468469455e-06
11.0,4.032654483041792e-06
11.125,3.4936677955721926e-06
11.25,1.3511851654728857e-06
11.375,5.010379105791841e-06
11.5,7.120724346814469e-06
11.625,5.203703359957544e-06
11.75,2.504790612841628e-06
11.875,3.646049976632736e-07
12.0,3.056082336420319e-06
12.125,3.529999397316036e-06
12.25,5.3419437528542725e-06
12.375,4.104259144900691e-06
12.5,3.794893801528824e-06
12.625,4.211929003915474e-06
12.75,2.250928828622676e-06
12.875,1.5363192520648035e-06
13.0,3.200623462969025e-06
13.125,4.331750205003105e-06
13.25,3.7104129937768665e-06
13.375,3.3785707786223983e-06
13.5,1.403685983273672e-06
13.625,1.91602427291524e-06
13.75,2.011479955080882e-06
13.875,4.291796047672506e-06
14.0,2.4125234035604326e-06
14.125,4.22917695489179e-06
14.25,9.974023743677026e-07
14.375,2.583856607525613e-06
14.5,3.4279102820360663e-06
14.625,3.03538664943961e-06
14.75,3.0008287940987155e-06
14.875,4.221013339498058e-06
15.0,3.3248109292228684e-06
15.125,2.7770604728381194e-06
15.25,3.6276374743484033e-06
15.375,3.988974070475311e-06
15.5,3.2504941633713635e-06
15.625,4.041828772789808e-06
15.75,1.716845651415399e-06
15.875,4.063053286774353e-06
16.0,4.667554670293187e-06
16.125,5.425597487134278e-06
16.25,5.374081114922842e-06
16.375,2.0468873066433136e-06
16.5,4.238885366020849e-06
16.625,3.0686379883225183e-06
16.75,2.0320228106494936e-06
16.875,2.5967318952122214e-06
17.0,9.161298088457965e-07
17.125,2.823989357474912e-06
17.25,3.50333602521525e-06
17.375,2.83622888452493e-06
17.5,5.015734688574238e-06
17.625,2.2025668072235674e-06
17.75,1.3766616993649731e-06
17.875,3.177046631982095e-06
18.0,3.135013470661812e-06
18.125,3.017469255029078e-06
18.25,2.436090105821475e-06
18.375,4.789510798545301e-06
18.5,3.467163615470748e-06
18.625,1.94671035637439e-06
18.75,2.6169497570748077e-06
18.875,2.82962282666353e-06
19.0,4.260626068585747e-06
19.125,8.669996876378167e-07
19.25,2.5459355046250956e-06
19.375,1.9344085950384913e-06
19.5,1.0242425419392745e-06
19.625,3.904439856510498e-06
19.75,3.063582081979512e-06
19.875,1.2331441323283198e-06
20.0,3.2711772187880865e-06
20.125,2.429840638048733e-06
20.25,2.202624803862815e-06
20.375,4.89923997295835e-06
20.5,2.3305911689555573e-06
20.625,2.7848332312700764e-06
20.75,2.034997262571271e-06
20.875,8.536779408246896e-07
21.0,2.4101393188909987e-06
21.125,2.451896384100292e-06
21.25,4.4312339154698936e-06
21.375,2.641789379116966e-06
21.5,1.3570629590174763e-06
21.625,4.909606832559964e-07
21.75,2.4230260710177866e-06
21.875,3.644024799364384e-06
22.0,2.343820491387103e-06
22.125,4.400991733552202e-06
22.25,5.421833757539425e-06
22.375,1.762775844295693e-06
22.5,4.40098445152826e-06
22.625,1.6895559028873593e-06
22.75,2.0006926744157077e-06
22.875,2.3656465232155688e-06
23.0,6.337568328129799e-06
23.125,3.2814695058119553e-06
23.25,3.861570409796363e-06
23.375,7.368280959624736e-06
23.5,1.3898572810727012e-05
23.625,5.3388739672781495e-06
23.75,1.9195543191755287e-06
23.875,5.326312776268199e-06
24.0,2.273277308666808e-06
24.125,8.198824491096119e-07
24.25,1.4424640040981856e-06
24.375,2.77121524137389e-06
24.5,3.2020746506474232e-06
24.625,2.4989621629190327e-06
24.75,1.456590631963682e-06
